Año de nacimiento,Comunidad,Género,Bebida,Tapa
1944,3,2,4,5
1995,9,1,1,12
1940,1,2,2,9
1972,8,1,2,14
1936,11,2,6,3
1992,8,2,1,12
1968,4,1,1,13
1970,13,2,4,12
1957,6,2,1,5
1930,15,2,2,7
1985,1,1,1,6
1979,12,2,2,8
1960,9,2,2,6
1945,12,1,5,3
1980,11,2,6,8
1925,2,1,5,13
1965,18,2,6,8
1954,3,1,3,10
1950,1,1,4,9
2002,3,1,1,13
1972,12,1,1,14
2005,20,2,4,14
1960,6,1,1,5
1957,10,2,1,15
1999,18,1,1,3
1942,15,1,1,7
1979,20,2,1,12
1973,7,2,2,12
1960,7,2,3,8
1938,14,2,4,8
1994,12,2,2,8
1979,9,2,3,6
1930,12,1,5,3
1997,6,2,2,15
1937,2,1,5,14
1998,15,2,2,6
1986,13,2,4,13
1985,13,2,3,13
1988,7,1,1,6
1983,16,2,6,8
1977,20,1,5,11
1989,20,2,4,6
1935,1,1,4,7
2000,15,2,2,6
1943,14,1,5,11
1947,19,2,4,9
2006,6,1,3,15
1977,14,2,6,8
1970,14,1,1,10
1963,12,1,1,14
1978,2,1,5,15
1992,17,2,2,8
1955,19,1,1,5
1987,11,1,1,13
1987,6,2,1,5
1987,10,2,2,15
2004,12,2,2,8
1973,4,2,2,13
1983,17,2,6,8
1967,9,2,1,2
1975,4,2,2,13
1972,14,1,1,10
1970,8,1,2,14
1990,3,1,5,6
1935,4,2,4,7
1970,12,1,1,14
1992,2,1,2,10
1998,5,2,2,12
1957,11,2,6,3
1943,15,1,2,7
1983,19,1,1,5
1930,5,1,1,13
1968,10,1,5,8
1980,5,2,2,6
2004,18,1,1,3
1988,19,2,6,6
1996,5,2,2,12
1990,4,1,1,12
1996,20,1,3,5
1973,12,1,1,14
1995,15,1,3,12
2002,14,1,1,12
1980,8,2,3,10
1976,13,1,5,11
1978,13,1,4,11
1999,2,1,2,10
2003,15,1,3,12
1949,9,1,1,2
1947,11,1,1,7
1993,9,2,2,6
1938,18,2,4,15
1938,16,1,3,3
1975,10,2,5,15
2000,8,2,4,15
1965,17,2,6,13
1999,11,2,2,8
1925,10,1,2,7
1980,1,2,1,3
1970,13,2,4,12
1958,7,2,3,8
1938,19,2,4,2
2002,20,1,4,11
1943,16,2,4,7
1988,4,1,1,12
1960,1,2,1,3
1967,12,1,1,14
1957,17,1,1,3
2002,20,2,1,10
1992,4,2,2,12
2000,5,2,2,12
1930,1,1,4,9
1925,15,1,2,7
2005,12,2,2,8
1940,17,1,5,3
1985,1,1,1,3
1997,12,2,2,8
1975,15,1,2,8
1937,10,2,3,7
1968,8,1,2,14
1998,7,2,2,12
1976,6,2,1,5
1931,3,2,6,13
1952,10,1,1,8
1950,18,1,1,9
1984,3,2,6,6
1969,9,1,1,2
1928,3,2,6,9
1978,12,2,2,8
1965,7,2,3,8
1988,13,2,1,13
1945,16,2,4,7
1971,13,1,4,11
1973,18,1,1,9
2001,16,2,6,2
1975,18,2,6,8
1985,6,2,1,5
1945,6,2,4,13
1935,1,1,4,7
1992,12,2,2,8
1953,10,2,1,15
1948,8,1,5,9
1960,1,2,1,3
1933,15,1,1,7
1946,11,1,1,7
1965,12,1,1,14
1948,16,1,1,8
1932,17,2,4,13
2000,18,1,1,3
1992,14,1,1,10
2005,5,2,2,12
2000,19,2,6,6
1979,7,2,2,12
1927,19,2,4,2
1951,12,1,5,3
1970,19,2,5,6
1940,2,2,4,11
1982,20,2,3,7
1933,5,2,2,13
2006,19,2,6,6
1953,15,1,2,7
1970,11,1,1,13
1985,1,1,1,3
1927,7,1,5,9
1950,10,1,1,8
1990,1,2,1,8
1960,15,2,3,7
1927,16,2,4,7
2000,1,2,2,6
1943,18,1,5,5
1953,4,2,4,7
1958,5,2,2,3
1985,5,2,2,6
1982,15,1,3,8
1987,19,2,6,6
1940,5,2,2,13
1992,5,1,1,12
1975,7,1,1,10
1965,14,2,6,8
1978,8,2,6,3
1955,11,1,1,3
1943,2,2,4,7
2005,9,2,2,6
1995,12,2,2,8
1980,6,1,1,5
1970,1,1,1,3
1942,6,1,5,13
1999,8,1,1,12
1940,10,1,3,7
1981,16,2,6,8
2005,8,2,4,15
1991,20,1,2,5
1965,11,1,1,7
1950,1,1,4,9
1975,20,1,4,1
1942,2,2,4,11
1955,7,1,1,14
1926,7,1,5,9
1935,16,2,4,7
1936,5,2,2,13
1933,14,1,5,11
1953,7,2,3,8
1933,18,1,5,5
1937,7,2,4,9
1942,18,1,5,5
2003,3,2,4,8
2002,19,1,1,7
1988,6,2,1,5
1993,7,2,2,12
1988,17,1,1,9
1974,3,1,1,12
1976,12,2,2,8
1950,8,1,5,9
1958,11,2,6,3
1980,4,1,1,13
1985,10,2,2,15
2000,1,2,2,6
1960,8,2,5,9
1965,15,1,2,8
1960,12,1,1,3
1988,8,1,3,10
1932,2,1,5,13
1975,20,2,5,9
1965,3,1,6,11
1962,18,1,1,9
1948,11,1,1,7
1948,7,1,1,14
1948,2,2,4,7
2006,11,1,1,12
1968,3,2,6,11
1985,20,1,3,3
1953,18,1,1,9
1955,9,1,1,2
1938,10,1,3,7
1998,10,1,2,12
1990,17,1,1,9
1958,10,1,4,8
1995,1,1,1,8
1940,8,1,5,9
1977,2,1,5,15
1998,16,1,1,8
1960,13,2,3,12
1930,7,1,5,9
1985,9,2,3,6
1963,10,2,4,15
2003,12,2,2,8
1997,8,1,1,12
1995,20,1,5,10
1977,4,1,1,13
1976,5,2,2,6
1993,19,1,1,7
1996,8,1,1,12
1995,1,1,1,8
1953,12,1,5,3
1986,11,1,1,13
1993,14,1,1,10
1967,11,1,1,7
1997,19,2,6,6
1982,2,2,3,6
1997,13,1,4,14
1998,20,2,5,12
1925,7,1,5,9
1955,5,1,1,3
1995,1,1,1,8
1990,13,1,4,11
1983,10,2,2,15
1939,7,2,4,9
1967,2,2,4,12
